Year,EventId,PlayerCode,Date,EventName,EventType,EventCountry,PlayerRank,PointsGained,PrizeUsd,SglDrawSize,Surface,TotPrizeMoney
2024,404,z371,2024-03-04,ATP Masters 1000 Indian Wells,1000,"CA, U.S.A.",50,30,42000,96,Hard,9495555
2024,495,z371,2024-02-26,Dubai,500,U.A.E.,46,0,22945,32,Hard,2941785
2024,451,z371,2024-02-19,Doha,250,Qatar,48,25,24500,28,Hard,1395875
2024,407,z371,2024-02-12,Rotterdam,500,Netherlands,47,0,17961,32,Hard,2134985
2024,496,z371,2024-02-05,Marseille,250,France,50,50,23601,28,Hard,724015
2024,4521,z371,2024-01-29,G2 CHN vs SLO,DC,China,50,0,0,4,Hard,0
2024,580,z371,2024-01-15,Australian Open,GS,Australia,54,50,120330,128,Hard,38923200
2024,9900,z371,2024-01-01,United Cup,UC,Australia,58,35,80525,18,Hard,5000000
2024,4787,f724,2024-11-04,Belgrade,250,Serbia,91,13,8712,28,Hard,750000
2024,444,f724,2024-10-28,Bratislava 2,CH,Slovakia,88,0,1581,32,Hard,148625
2024,337,f724,2024-10-21,Vienna,500,Austria,88,25,20939,32,Hard,2470310
2024,7485,f724,2024-10-14,Antwerp,250,Belgium,93,25,13242,28,Hard,690135
2024,560,f724,2024-08-26,US Open,GS,"NY, U.S.A.",81,10,100000,128,Hard,33977000
2024,6242,f724,2024-08-19,Winston-Salem,250,"NC, U.S.A.",79,13,6840,48,Hard,779780
2024,422,f724,2024-08-12,ATP Masters 1000 Cincinnati,1000,"OH, U.S.A.",84,16,13915,56,Hard,6795555
2024,96,f724,2024-07-29,Paris Olympics,OL,France,86,0,0,64,Clay,0
2024,319,f724,2024-07-22,Kitzbuhel,250,Austria,83,0,6762,28,Clay,579320
2024,540,f724,2024-07-01,Wimbledon,GS,Great Britain,70,10,75870,128,Grass,20747000
2024,520,f724,2024-05-27,Roland Garros,GS,France,54,10,79344,128,Clay,24961000
2024,416,f724,2024-05-06,ATP Masters 1000 Rome,1000,Italy,50,10,21911,96,Clay,7877020
2024,2861,f724,2024-04-29,Cagliari,CH,Italy,53,25,6566,28,Clay,205000
2024,4462,f724,2024-04-15,Bucharest,250,Romania,82,250,93774,28,Clay,579320
